index,symbol,date,open,high,low,close,volume
1,SPX,2012-11-15,1355.41,1360.62,1348.05,1353.33,3928870000
2,SPX,2012-11-14,1374.64,1380.13,1352.5,1355.49,4109510000
3,SPX,2012-11-13,1380.03,1388.81,1371.39,1374.53,3455550000
4,SPX,2012-11-12,1379.86,1384.87,1377.19,1380.0,2567540000
5,SPX,2012-11-09,1377.55,1391.39,1373.03,1379.85,3647350000
6,SPX,2012-11-08,1394.53,1401.23,1377.51,1377.51,3779520000
7,SPX,2012-11-07,1428.27,1428.27,1388.14,1394.53,4356490000
8,SPX,2012-11-06,1417.26,1433.38,1417.26,1428.39,3306970000
9,SPX,2012-11-05,1414.02,1419.9,1408.13,1417.26,2921040000
10,SPX,2012-11-02,1427.59,1434.27,1412.91,1414.2,3732480000
11,SPX,2012-11-01,1412.2,1428.35,1412.2,1427.59,3929890000
12,SPX,2012-10-31,1410.99,1418.76,1405.95,1412.16,3577110000
13,SPX,2012-10-26,1412.97,1417.09,1403.28,1411.94,3284910000
14,SPX,2012-10-25,1409.74,1421.12,1405.14,1412.97,3512640000
15,SPX,2012-10-24,1413.2,1420.04,1407.1,1408.75,3385970000
16,SPX,2012-10-23,1433.74,1433.74,1407.56,1413.11,3587670000
17,SPX,2012-10-22,1433.21,1435.46,1422.06,1433.81,3216220000
18,SPX,2012-10-19,1457.34,1457.34,1429.85,1433.19,3875170000
19,SPX,2012-10-18,1460.94,1464.02,1452.63,1457.34,3880030000
20,SPX,2012-10-17,1454.22,1462.2,1453.35,1460.91,3655320000
21,SPX,2012-10-16,1440.31,1455.51,1440.31,1454.92,3568770000
22,SPX,2012-10-15,1428.75,1441.31,1427.24,1440.13,3483810000
23,SPX,2012-10-12,1432.84,1438.43,1425.53,1428.59,3134750000
24,SPX,2012-10-11,1432.82,1443.9,1432.82,1432.84,3672540000
25,SPX,2012-10-10,1441.48,1442.52,1430.64,1432.56,3225060000
26,SPX,2012-10-09,1455.9,1455.9,1441.18,1441.48,3216320000
27,SPX,2012-10-08,1460.93,1460.93,1453.1,1455.88,2328720000
28,SPX,2012-10-05,1461.4,1470.96,1456.89,1460.93,3172940000
29,SPX,2012-10-04,1451.08,1463.14,1451.08,1461.4,3615860000
30,SPX,2012-10-03,1446.05,1454.3,1441.99,1450.99,3531640000
31,SPX,2012-10-02,1444.99,1451.52,1439.01,1445.75,3321790000
32,SPX,2012-10-01,1440.9,1457.14,1440.9,1444.49,3505080000
33,SPX,2012-09-28,1447.13,1447.13,1435.6,1440.67,3509230000
34,SPX,2012-09-27,1433.36,1450.2,1433.36,1447.15,3150330000
35,SPX,2012-09-26,1441.6,1441.6,1430.53,1433.32,3565380000
36,SPX,2012-09-25,1456.94,1463.24,1441.59,1441.59,3739900000
37,SPX,2012-09-24,1459.76,1460.72,1452.06,1456.89,3008920000
38,SPX,2012-09-21,1460.34,1467.07,1459.51,1460.15,4833870000
39,SPX,2012-09-20,1461.05,1461.23,1449.98,1460.26,3382520000
40,SPX,2012-09-19,1459.5,1465.15,1457.88,1461.05,3451360000
41,SPX,2012-09-18,1461.19,1461.47,1456.13,1459.32,3377390000
42,SPX,2012-09-17,1465.42,1465.63,1457.55,1461.19,3482430000
43,SPX,2012-09-14,1460.07,1474.51,1460.07,1465.77,5041990000
44,SPX,2012-09-13,1436.56,1463.76,1435.34,1459.99,4606550000
45,SPX,2012-09-12,1433.56,1439.15,1432.99,1436.56,3641200000
46,SPX,2012-09-11,1429.13,1437.76,1429.13,1433.56,3509630000
47,SPX,2012-09-10,1437.92,1438.74,1428.98,1429.08,3223670000
48,SPX,2012-09-07,1432.12,1437.92,1431.45,1437.92,3717620000
49,SPX,2012-09-06,1403.74,1432.12,1403.74,1432.12,3952870000
50,SPX,2012-09-05,1404.94,1408.81,1401.25,1403.44,3389110000
51,SPX,2012-09-04,1406.54,1409.31,1396.56,1404.94,3200310000
52,SPX,2012-08-31,1400.07,1413.09,1398.96,1406.58,2938250000
53,SPX,2012-08-30,1410.08,1410.08,1397.01,1399.48,2530280000
54,SPX,2012-08-29,1409.32,1413.95,1406.57,1410.49,2571220000
55,SPX,2012-08-28,1410.44,1413.63,1405.59,1409.3,2629090000
56,SPX,2012-08-27,1411.13,1416.17,1409.11,1410.44,2472500000
57,SPX,2012-08-24,1401.99,1413.46,1398.04,1411.13,2598790000
58,SPX,2012-08-23,1413.49,1413.49,1400.5,1402.08,3008240000
59,SPX,2012-08-22,1413.09,1416.12,1406.78,1413.49,3062690000
60,SPX,2012-08-21,1418.13,1426.68,1410.86,1413.17,3282950000
61,SPX,2012-08-20,1417.85,1418.13,1412.12,1418.13,2766320000
62,SPX,2012-08-17,1415.84,1418.71,1414.67,1418.16,2922990000
63,SPX,2012-08-16,1405.57,1417.44,1404.15,1415.51,3114100000
64,SPX,2012-08-15,1403.89,1407.73,1401.83,1405.53,2655750000
65,SPX,2012-08-14,1404.36,1410.03,1400.6,1403.93,2930900000
66,SPX,2012-08-13,1405.87,1405.87,1397.32,1404.11,2499990000
67,SPX,2012-08-10,1402.58,1405.98,1395.62,1405.87,2767980000
68,SPX,2012-08-09,1402.26,1405.95,1398.8,1402.8,3119610000
69,SPX,2012-08-08,1401.23,1404.14,1396.13,1402.22,3221790000
70,SPX,2012-08-07,1394.46,1407.14,1394.46,1401.35,3682490000
71,SPX,2012-08-06,1391.04,1399.63,1391.04,1394.23,3122050000
72,SPX,2012-08-03,1365.45,1394.16,1365.45,1390.99,3751170000
73,SPX,2012-08-02,1375.13,1375.13,1354.65,1365.0,4193740000
74,SPX,2012-08-01,1379.32,1385.03,1373.35,1375.32,4440920000
75,SPX,2012-07-31,1385.27,1387.16,1379.17,1379.32,3821570000
76,SPX,2012-07-30,1385.94,1391.74,1381.37,1385.3,3212060000
77,SPX,2012-07-27,1360.05,1389.19,1360.05,1385.97,4399010000
78,SPX,2012-07-26,1338.17,1363.13,1338.17,1360.02,4429300000
79,SPX,2012-07-25,1338.35,1343.98,1331.5,1337.89,3719170000
80,SPX,2012-07-24,1350.52,1351.53,1329.24,1338.31,3891290000
81,SPX,2012-07-23,1362.34,1362.34,1337.56,1350.52,3717180000
82,SPX,2012-07-20,1376.51,1376.51,1362.19,1362.66,3925020000
83,SPX,2012-07-19,1373.01,1380.39,1371.21,1376.51,4043360000
84,SPX,2012-07-18,1363.58,1375.26,1358.96,1372.78,3642630000
85,SPX,2012-07-17,1353.68,1365.36,1345.07,1363.67,3566680000
86,SPX,2012-07-16,1356.5,1357.26,1348.51,1353.64,2862720000
87,SPX,2012-07-13,1334.81,1357.7,1334.81,1356.78,3212930000
88,SPX,2012-07-12,1341.29,1341.29,1325.41,1334.76,3654440000
89,SPX,2012-07-11,1341.4,1345.0,1333.25,1341.45,3426290000
90,SPX,2012-07-10,1352.96,1361.54,1336.27,1341.47,3470600000
91,SPX,2012-07-09,1354.66,1354.87,1346.65,1352.46,2904860000
92,SPX,2012-07-06,1367.09,1367.09,1348.03,1354.68,2745140000
93,SPX,2012-07-05,1373.72,1373.85,1363.02,1367.58,3041520000
94,SPX,2012-07-03,1365.75,1374.81,1363.53,1374.02,2116390000
95,SPX,2012-07-02,1362.33,1366.35,1355.7,1365.51,3301650000
96,SPX,2012-06-29,1330.12,1362.17,1330.12,1362.16,4590480000
97,SPX,2012-06-28,1331.52,1331.52,1313.29,1329.04,3969370000
98,SPX,2012-06-27,1320.71,1334.4,1320.71,1331.85,3286910000
99,SPX,2012-06-26,1314.09,1324.24,1310.3,1319.99,3412940000
100,SPX,2012-06-25,1334.9,1334.9,1309.27,1313.72,3501820000
101,SPX,2012-06-22,1325.92,1337.82,1325.92,1335.02,5271490000
102,SPX,2012-06-21,1355.43,1358.27,1324.41,1325.51,4094470000
103,SPX,2012-06-20,1358.04,1361.57,1346.45,1355.69,3695700000
104,SPX,2012-06-19,1344.83,1363.46,1344.83,1357.98,3815350000
105,SPX,2012-06-18,1342.42,1348.22,1334.46,1344.78,3259430000
106,SPX,2012-06-15,1329.19,1343.32,1329.19,1342.84,4401570000
107,SPX,2012-06-14,1314.88,1333.68,1314.14,1329.1,3687720000
108,SPX,2012-06-13,1324.02,1327.28,1310.51,1314.88,3506510000
109,SPX,2012-06-12,1309.4,1324.31,1306.62,1324.18,3442920000
110,SPX,2012-06-11,1325.72,1335.52,1307.73,1308.93,3537530000
111,SPX,2012-06-08,1314.99,1325.81,1307.77,1325.66,3497190000
112,SPX,2012-06-07,1316.15,1329.05,1312.68,1314.99,4258140000
113,SPX,2012-06-06,1285.61,1315.13,1285.61,1315.13,4268360000
114,SPX,2012-06-05,1277.82,1287.62,1274.16,1285.5,3403230000
115,SPX,2012-06-04,1278.29,1282.55,1266.74,1278.18,4011960000
116,SPX,2012-06-01,1309.87,1309.87,1277.25,1278.04,4669350000
117,SPX,2012-05-31,1313.09,1319.74,1298.9,1310.33,4557620000
118,SPX,2012-05-30,1331.25,1331.25,1310.76,1313.32,3534290000
119,SPX,2012-05-29,1318.9,1334.93,1318.9,1332.42,3441640000
120,SPX,2012-05-25,1320.81,1324.2,1314.23,1317.82,2872660000
121,SPX,2012-05-24,1318.72,1324.14,1310.5,1320.68,3937670000
122,SPX,2012-05-23,1316.02,1320.71,1296.53,1318.86,4108330000
123,SPX,2012-05-22,1316.09,1328.49,1310.04,1316.63,4123680000
124,SPX,2012-05-21,1295.73,1316.39,1295.73,1315.99,3786750000
125,SPX,2012-05-18,1305.05,1312.24,1291.98,1295.22,4512470000
126,SPX,2012-05-17,1324.82,1326.36,1304.86,1304.86,4664280000
127,SPX,2012-05-16,1330.78,1341.78,1324.79,1324.8,4280420000
128,SPX,2012-05-15,1338.36,1344.94,1328.41,1330.66,4114040000
129,SPX,2012-05-14,1351.93,1351.93,1336.61,1338.35,3688120000
130,SPX,2012-05-11,1358.11,1365.66,1348.89,1353.39,3869070000
131,SPX,2012-05-10,1354.58,1365.88,1354.58,1357.99,3727990000
132,SPX,2012-05-09,1363.2,1363.73,1343.13,1354.58,4288540000
133,SPX,2012-05-08,1369.16,1369.16,1347.75,1363.72,4261670000
134,SPX,2012-05-07,1368.79,1373.91,1363.94,1369.58,3559390000
135,SPX,2012-05-04,1391.51,1391.51,1367.96,1369.1,3975140000
136,SPX,2012-05-03,1402.32,1403.07,1388.71,1391.57,4004910000
137,SPX,2012-05-02,1405.5,1405.5,1393.92,1402.31,3803860000
138,SPX,2012-05-01,1397.86,1415.32,1395.73,1405.82,3807950000
139,SPX,2012-04-30,1403.26,1403.26,1394.0,1397.91,3574010000
140,SPX,2012-04-27,1400.19,1406.64,1397.31,1403.36,3645830000
141,SPX,2012-04-26,1390.64,1402.09,1387.28,1399.98,4034700000
142,SPX,2012-04-25,1372.11,1391.37,1372.11,1390.69,3998430000
143,SPX,2012-04-24,1366.97,1375.57,1366.82,1371.97,3617100000
144,SPX,2012-04-23,1378.53,1378.53,1358.79,1366.94,3654860000
145,SPX,2012-04-20,1376.96,1387.4,1376.96,1378.53,3833320000
146,SPX,2012-04-19,1385.08,1390.46,1370.3,1376.92,4180020000
147,SPX,2012-04-18,1390.78,1390.78,1383.29,1385.14,3463140000
148,SPX,2012-04-17,1369.57,1392.76,1369.57,1390.78,3456200000
149,SPX,2012-04-16,1370.27,1379.66,1365.38,1369.57,3574780000
150,SPX,2012-04-13,1387.61,1387.61,1369.85,1370.26,3631160000
151,SPX,2012-04-12,1368.77,1388.13,1368.77,1387.57,3618280000
152,SPX,2012-04-11,1358.98,1374.71,1358.98,1368.71,3743040000
153,SPX,2012-04-10,1382.18,1383.01,1357.38,1358.59,4631730000
154,SPX,2012-04-09,1397.45,1397.45,1378.24,1382.2,3468980000
155,SPX,2012-04-05,1398.79,1401.6,1392.92,1398.08,3303740000
156,SPX,2012-04-04,1413.09,1413.09,1394.09,1398.96,3938290000
157,SPX,2012-04-03,1418.98,1419.0,1404.62,1413.38,3822090000
158,SPX,2012-04-02,1408.47,1422.38,1404.46,1419.04,3572010000
159,SPX,2012-03-30,1403.31,1410.89,1401.42,1408.47,3676890000
160,SPX,2012-03-29,1405.39,1405.39,1391.56,1403.28,3832000000
