date,open,high,low,close,volume
1990-01-02,0.378,0.385,0.373,0.385,0
1990-01-03,0.394,0.397,0.39,0.393,0
1990-01-04,0.39,0.402,0.388,0.401,0
1990-01-05,0.401,0.403,0.392,0.393,0
1990-01-08,0.394,0.401,0.39,0.401,0
1990-01-09,0.402,0.407,0.399,0.401,0
1990-01-10,0.392,0.398,0.384,0.385,0
1990-01-11,0.387,0.39,0.37,0.377,0
1990-01-12,0.372,0.381,0.367,0.377,0
1990-01-15,0.375,0.38,0.373,0.377,0
1990-01-16,0.37,0.387,0.366,0.385,0
1990-01-17,0.387,0.398,0.382,0.385,0
1990-01-18,0.394,0.417,0.393,0.417,0
1990-01-19,0.414,0.417,0.407,0.409,0
1990-01-22,0.415,0.415,0.4,0.401,0
1990-01-23,0.398,0.399,0.391,0.393,0
1990-01-24,0.389,0.401,0.385,0.401,0
1990-01-25,0.405,0.409,0.4,0.401,0
1990-01-26,0.4,0.403,0.398,0.401,0
1990-01-29,0.401,0.405,0.396,0.401,0
1990-01-30,0.403,0.407,0.396,0.401,0
1990-01-31,0.399,0.401,0.396,0.401,0
1990-02-01,0.404,0.412,0.404,0.409,0
1990-02-02,0.406,0.417,0.406,0.409,0
1990-02-05,0.407,0.409,0.405,0.409,0
1990-02-06,0.409,0.41,0.402,0.409,0
1990-02-07,0.41,0.416,0.408,0.409,0
1990-02-08,0.407,0.412,0.405,0.409,0
1990-02-09,0.416,0.418,0.415,0.417,0
1990-02-12,0.416,0.42,0.414,0.417,0
1990-02-13,0.418,0.419,0.416,0.417,0
1990-02-14,0.418,0.418,0.415,0.417,0
1990-02-15,0.417,0.43,0.417,0.426,0
1990-02-16,0.427,0.429,0.425,0.426,0
1990-02-20,0.431,0.443,0.428,0.442,0
1990-02-21,0.429,0.434,0.416,0.417,0
1990-02-22,0.427,0.434,0.425,0.426,0
1990-02-23,0.418,0.427,0.417,0.426,0
1990-02-26,0.426,0.437,0.425,0.434,0
1990-02-27,0.432,0.432,0.426,0.426,0
1990-02-28,0.431,0.438,0.431,0.434,0
1990-03-01,0.427,0.442,0.427,0.434,0
1990-03-02,0.435,0.453,0.435,0.45,0
1990-03-05,0.451,0.46,0.445,0.458,0
1990-03-06,0.459,0.46,0.45,0.458,0
1990-03-07,0.459,0.462,0.45,0.45,0
1990-03-08,0.452,0.471,0.447,0.467,0
1990-03-09,0.464,0.473,0.461,0.467,0
1990-03-12,0.466,0.477,0.465,0.475,0
1990-03-13,0.477,0.479,0.467,0.467,0
1990-03-14,0.472,0.479,0.466,0.475,0
1990-03-15,0.469,0.486,0.469,0.483,0
1990-03-16,0.491,0.504,0.489,0.5,0
1990-03-19,0.495,0.51,0.492,0.508,0
1990-03-20,0.506,0.508,0.489,0.491,0
1990-03-21,0.498,0.51,0.495,0.5,0
1990-03-22,0.493,0.494,0.479,0.483,0
1990-03-23,0.491,0.496,0.477,0.483,0
1990-03-26,0.487,0.495,0.486,0.491,0
1990-03-27,0.485,0.493,0.483,0.491,0
1990-03-28,0.488,0.488,0.472,0.483,0
1990-03-29,0.482,0.493,0.481,0.483,0
1990-03-30,0.48,0.484,0.477,0.483,0
1990-04-02,0.483,0.495,0.481,0.491,0
1990-04-03,0.493,0.509,0.492,0.508,0
1990-04-04,0.511,0.523,0.509,0.516,0
1990-04-05,0.51,0.511,0.5,0.5,0
1990-04-06,0.501,0.503,0.495,0.5,0
1990-04-09,0.496,0.502,0.496,0.5,0
1990-04-10,0.501,0.516,0.501,0.516,0
1990-04-11,0.521,0.532,0.52,0.532,0
1990-04-12,0.537,0.538,0.529,0.532,0
1990-04-16,0.535,0.541,0.526,0.532,0
1990-04-17,0.529,0.549,0.52,0.54,0
1990-04-18,0.541,0.542,0.515,0.532,0
1990-04-19,0.529,0.539,0.521,0.524,0
1990-04-20,0.522,0.526,0.511,0.516,0
1990-04-23,0.514,0.52,0.501,0.516,0
1990-04-24,0.523,0.523,0.494,0.508,0
1990-04-25,0.51,0.514,0.499,0.508,0
1990-04-26,0.509,0.511,0.498,0.5,0
1990-04-27,0.499,0.5,0.486,0.491,0
1990-04-30,0.492,0.508,0.488,0.508,0
1990-05-01,0.513,0.513,0.496,0.5,0
1990-05-02,0.499,0.51,0.499,0.508,0
1990-05-03,0.511,0.522,0.51,0.516,0
1990-05-04,0.52,0.54,0.516,0.54,0
1990-05-07,0.539,0.574,0.535,0.556,0
1990-05-08,0.548,0.555,0.544,0.548,0
1990-05-09,0.55,0.553,0.542,0.548,0
1990-05-10,0.554,0.569,0.549,0.565,0
1990-05-11,0.569,0.578,0.553,0.573,0
1990-05-14,0.578,0.58,0.571,0.573,0
1990-05-15,0.571,0.573,0.56,0.565,0
1990-05-16,0.563,0.565,0.554,0.565,0
1990-05-17,0.565,0.569,0.56,0.565,0
1990-05-18,0.566,0.606,0.565,0.597,0
1990-05-21,0.601,0.631,0.601,0.614,0
1990-05-22,0.618,0.628,0.6,0.622,0
1990-05-23,0.629,0.664,0.628,0.663,0
1990-05-24,0.673,0.691,0.667,0.671,0
1990-05-25,0.647,0.664,0.644,0.647,0
1990-05-29,0.646,0.657,0.644,0.655,0
1990-05-30,0.668,0.672,0.656,0.663,0
1990-05-31,0.654,0.66,0.634,0.638,0
1990-06-01,0.638,0.656,0.636,0.655,0
1990-06-04,0.657,0.678,0.649,0.671,0
1990-06-05,0.672,0.674,0.633,0.638,0
1990-06-06,0.641,0.652,0.634,0.638,0
1990-06-07,0.641,0.646,0.622,0.63,0
1990-06-08,0.633,0.649,0.629,0.647,0
1990-06-11,0.638,0.66,0.638,0.655,0
1990-06-12,0.66,0.664,0.651,0.663,0
1990-06-13,0.665,0.682,0.659,0.671,0
1990-06-14,0.672,0.674,0.652,0.663,0
1990-06-15,0.65,0.672,0.65,0.663,0
