i,date,open,high,low,close,volume
0,2019-08-30,9583943.056779359,9685705.618507639,9421913.055544972,9588653.638260834,1713240492460.7175
1,2019-08-31,9589923.795050956,9831213.58023587,9521175.30863128,9726180.614803888,1954781785592.1624
2,2019-09-01,9724790.443198953,10451290.12344505,9713699.074063163,10341276.54319826,4474577158036.863
3,2019-09-02,10341276.54319826,10774329.999987897,10273268.148136608,10616590.528383136,4800430250647.46
4,2019-09-03,10613160.10492635,10800333.209864412,10371170.233321682,10568324.5703585,4394931419743.532
5,2019-09-04,10567224.434556032,10901345.6790001,10451290.12344505,10565794.258012822,3397515458471.9736
6,2019-09-05,10564434.090111589,10907216.403691452,10151253.08640835,10300001.448136577,5880690017386.715
7,2019-09-06,10299981.445667442,10559303.456778262,10289840.193815602,10457170.849370968,2764128947559.7593
8,2019-09-07,10457190.851840105,10593807.716037482,10209260.246902112,10382461.627148831,2398763308859.2563
9,2019-09-08,10382521.634556238,10481293.82714872,10069743.024680046,10304391.990111882,3984064559901.7964
10,2019-09-09,10303851.923445215,10386272.097519197,9954228.765420917,10099396.68517384,2891898202894.5913
11,2019-09-10,10099436.690112112,10294270.740729177,9881219.75307532,10159584.114803402,3195776947857.6694
12,2019-09-11,10160004.166655254,10450099.97653147,10041239.50616156,10416295.803692004,3451542339233.839
13,2019-09-12,10416295.803692004,10440288.765420372,10154253.456778716,10343336.797519244,3028407808951.8574
14,2019-09-13,10345407.053074798,10421276.418506812,10223592.016037898,10336295.928383451,2362444975767.951
15,2019-09-14,10334085.655543946,10361279.01233404,10253415.697519345,10303281.853074847,1804988211841.3428
16,2019-09-15,10304612.017272376,10356278.395050095,10079244.197519543,10252575.593815643,2897497837322.14
17,2019-09-16,10250945.392581077,10276268.518506974,10129260.37159356,10189077.75554411,2291715349193.265
18,2019-09-17,10188737.713568801,10259286.422210699,10101246.913568899,10158243.949371304,2425324316091.14
19,2019-09-18,10157663.877766367,10326274.691346426,9654191.728384217,10245554.727148985,4483181668791.001
20,2019-09-19,10244964.65430948,10282269.259247709,10062632.146902276,10169845.381470058,2509158841354.823
21,2019-09-20,10169175.298754008,10177956.382704617,9901222.2222111,9987622.8876431,2054671151390.2354
22,2019-09-21,9986382.734556682,10090245.555544222,9855186.539495101,10030108.132087499,2205199738872.2886
23,2019-09-22,10029288.03085293,10051230.739494883,9616957.132087963,9703447.808631076,3194117522415.622
24,2019-09-23,9703397.802458236,9796199.258013686,7800962.9629542,8494188.535792926,9401895104798.12
25,2019-09-24,8498599.080237366,8731077.77776797,8216654.276533979,8431090.746904109,6079139644216.109
26,2019-09-25,8431090.746904109,8467035.183941105,7750956.79011475,8064725.522213163,6793924027407.788
27,2019-09-26,8064485.492583534,8266020.370361085,7853119.401225746,8178919.618509331,4388834226996.6133
28,2019-09-27,8178479.564188344,8316026.543200535,8002077.7888799,8199822.198756221,3447786116559.8926
29,2019-09-28,8200392.26912659,8230145.941966062,7890974.07406521,8044813.064188493,3154810573504.95
30,2019-09-29,8044032.967892199,8338289.2913486585,7710951.851843189,8290363.375299329,5587238423367.305
31,2019-09-30,8290993.453077106,8501049.3827065,8174059.018509337,8293463.758015376,4347778505614.7583
32,2019-10-01,8293693.786410437,8374943.816039975,8152226.323447633,8360972.091348633,2624662656824.7554
33,2019-10-02,8361032.0987560395,8394036.172830077,8060995.06171934,8224975.303694463,3049204804365.1924
34,2019-10-03,8225445.361719156,8233426.346904331,8005988.271595945,8138134.5839414755,2647959908673.618
35,2019-10-04,8138094.579003204,8184420.29752167,8013969.256781121,8127193.233324204,2191032020787.2178
36,2019-10-05,8128553.401225437,8154876.650608123,7785961.111102365,7855219.660485003,3468038504946.0923
37,2019-10-06,7856269.790114632,8300944.681472157,7762958.2715962175,8191101.122213021,5220851699722.493
38,2019-10-07,8191831.212336477,8326027.777768425,8089748.611102024,8169398.4432007,3545703429424.696
