index,date,open,high,low,close,volume
1,2018-12-21,2.72,2.72,2.5905,2.63,136251
2,2018-12-24,2.62,2.715,2.51,2.6,56886
3,2018-12-26,2.65,2.76,2.5801,2.71,196864
4,2018-12-27,2.7,2.75,2.67,2.73,210888
5,2018-12-28,2.72,2.77,2.63,2.65,380301
6,2018-12-31,2.65,2.76,2.62,2.65,142883
7,2019-01-02,2.64,2.82,2.61,2.82,87115
8,2019-01-03,2.82,3.02,2.82,2.98,106677
9,2019-01-04,2.98,3.04,2.94,3.02,64839
10,2019-01-07,3.02,3.09,2.98,3.09,89983
11,2019-01-08,3.11,3.16,3.11,3.12,96739
12,2019-01-09,3.11,3.2,3.11,3.14,159551
13,2019-01-10,3.13,3.38,3.13,3.33,408972
14,2019-01-11,3.33,3.4,3.32,3.4,402411
15,2019-01-14,3.45,3.49,3.35,3.45,120610
16,2019-01-15,3.45,3.52,3.38,3.42,124725
17,2019-01-16,3.41,3.47,3.35,3.46,155110
18,2019-01-17,3.46,3.48,3.361,3.46,76100
19,2019-01-18,3.5,3.55,3.28,3.48,151963
20,2019-01-22,3.5,3.67,3.5,3.65,346918
21,2019-01-23,3.65,3.7,3.59,3.67,209110
22,2019-01-24,3.68,3.87,3.63,3.76,311493
23,2019-01-25,3.8,4.0,3.76,3.94,332728
24,2019-01-28,3.98,3.98,3.54,3.91,256887
25,2019-01-29,3.89,4.04,3.89,3.98,201516
26,2019-01-30,3.98,4.05,3.95,4.0,142692
27,2019-01-31,4.0,4.055,3.96,4.0,222670
28,2019-02-01,4.0,4.06,3.9497,4.04,210451
29,2019-02-04,4.0,4.19,4.0,4.14,365392
30,2019-02-05,4.14,4.29,4.14,4.25,270580
31,2019-02-06,4.27,4.27,4.13,4.15,277948
32,2019-02-07,4.16,4.2,4.01,4.14,320925
33,2019-02-08,4.14,4.24,4.12,4.24,234555
34,2019-02-11,4.27,4.75,4.18,4.49,755878
35,2019-02-12,4.49,4.55,4.2,4.45,293088
36,2019-02-13,4.43,4.52,4.39,4.39,184659
37,2019-02-14,4.49,4.51,4.0688,4.19,434935
38,2019-02-15,4.19,4.2,3.95,4.07,253095
39,2019-02-19,4.05,4.06,3.84,3.96,195392
40,2019-02-20,3.97,4.135,3.91,4.07,348158
41,2019-02-21,4.1,4.4299,4.0501,4.41,288440
42,2019-02-22,4.4,4.545,4.28,4.36,340675
43,2019-02-25,4.34,4.45,4.304,4.36,244933
44,2019-02-26,4.36,4.4,4.27,4.33,134155
45,2019-02-27,4.29,4.37,4.27,4.35,143475
46,2019-02-28,4.36,4.37,4.285,4.33,73084
47,2019-03-01,4.32,4.59,4.32,4.48,332187
48,2019-03-04,4.47,4.47,4.255,4.38,119615
49,2019-03-05,4.32,4.36,4.25,4.29,61762
50,2019-03-06,4.3,4.31,4.13,4.22,67187
51,2019-03-07,4.22,4.325,4.17,4.27,71952
52,2019-03-08,4.23,4.34,4.1708,4.25,74037
53,2019-03-11,4.18,4.29,4.18,4.21,100461
54,2019-03-12,4.22,4.42,4.2,4.37,255816
55,2019-03-13,4.36,4.45,4.24,4.32,165888
