index,date,open,high,low,close,volume
0,2022-06-02 10:29:00-04:00,264.91,265.12,264.7,264.94,59346
1,2022-06-02 10:30:00-04:00,264.92,265.28,264.91,265.12,53389
2,2022-06-02 10:31:00-04:00,265.14,265.5,264.9,265.49,86924
3,2022-06-02 10:32:00-04:00,265.5,265.62,265.25,265.36,90439
4,2022-06-02 10:33:00-04:00,265.32,265.54,265.15,265.29,60658
5,2022-06-02 10:34:00-04:00,265.31,265.43,265.2,265.3,47982
6,2022-06-02 10:35:00-04:00,265.33,265.74,265.3,265.47,45980
7,2022-06-02 10:36:00-04:00,265.47,265.76,265.28,265.45,52543
8,2022-06-02 10:37:00-04:00,265.48,265.54,265.07,265.31,35625
9,2022-06-02 10:38:00-04:00,265.25,265.48,265,265.4,81893
10,2022-06-02 10:39:00-04:00,265.39,265.8,265.31,265.61,49876
11,2022-06-02 10:40:00-04:00,265.56,265.79,265.46,265.75,45960
12,2022-06-02 10:41:00-04:00,265.77,265.85,265.45,265.54,51255
13,2022-06-02 10:42:00-04:00,265.53,265.75,265.48,265.75,48651
14,2022-06-02 10:43:00-04:00,265.78,266.25,265.76,265.95,64556
15,2022-06-02 10:44:00-04:00,265.93,266.22,265.86,266.07,47765
16,2022-06-02 10:45:00-04:00,266.02,266.3,266.01,266.02,37980
17,2022-06-02 10:46:00-04:00,266.06,266.07,265.74,266.02,64243
18,2022-06-02 10:47:00-04:00,266,266.05,265.52,266.05,101754
19,2022-06-02 10:48:00-04:00,266.04,266.18,265.85,265.91,44792
20,2022-06-02 10:49:00-04:00,265.91,266.15,265.9,266.1,33554
21,2022-06-02 10:50:00-04:00,266.1,266.21,265.85,265.99,53805
22,2022-06-02 10:51:00-04:00,265.99,266.06,265.71,265.71,34368
23,2022-06-02 10:52:00-04:00,265.7,266.09,265.62,266.02,60331
24,2022-06-02 10:53:00-04:00,266.07,266.42,266.02,266.11,57500
25,2022-06-02 10:54:00-04:00,266.08,266.17,266.02,266.11,15491
26,2022-06-02 10:55:00-04:00,266.13,266.19,265.81,265.89,38710
27,2022-06-02 10:56:00-04:00,265.89,266.2,265.87,266.15,66096
28,2022-06-02 10:57:00-04:00,266.16,266.32,265.93,265.95,52412
29,2022-06-02 10:58:00-04:00,265.92,265.93,265.65,265.9,43609
30,2022-06-02 10:59:00-04:00,265.92,266.33,265.8,266.29,44578
31,2022-06-02 11:00:00-04:00,266.31,266.43,266.18,266.28,64406
32,2022-06-02 11:01:00-04:00,266.27,266.64,266.06,266.63,61500
33,2022-06-02 11:02:00-04:00,266.65,266.83,266.58,266.77,84765
34,2022-06-02 11:03:00-04:00,266.8,267.21,266.7,267.19,67270
35,2022-06-02 11:04:00-04:00,267.17,267.39,267.17,267.36,86725
36,2022-06-02 11:05:00-04:00,267.34,267.37,267.17,267.23,53608
